Month-Day,2024
06-01,23.59311
06-02,23.611969
06-03,23.882599
06-04,23.933746
06-05,24.056244
06-06,23.829285
06-07,23.772156
06-08,24.094818
06-09,24.258057
06-10,24.744171
06-11,25.301117
06-12,25.549072
06-13,25.590698
06-14,25.30188
06-15,25.273712
06-16,25.343262
06-17,25.55075
06-18,25.536804
06-19,25.30957
06-20,25.147156
06-21,25.103333
06-22,25.57666
06-23,25.823944
06-24,25.977142
06-25,26.470825
06-26,26.670532
06-27,26.682556
06-28,26.410614
06-29,26.310822
06-30,26.033813
07-01,25.837646
07-02,25.717438
07-03,26.224579
07-04,26.777832
07-05,26.480774
07-06,26.122162
07-07,26.179718
07-08,26.84491
07-09,27.512024
07-10,27.775177
07-11,27.45996
07-12,26.997192
07-13,26.848572
07-14,26.788422
07-15,26.997772
07-16,27.323822
07-17,27.319794
07-18,26.84613
07-19,26.384125
07-20,26.32373
07-21,26.53366
07-22,26.620148
07-23,26.634033
07-24,26.089752
07-25,26.113647
07-26,26.286316
07-27,26.603851
07-28,26.536438
07-29,26.219818
07-30,25.72229
07-31,25.500519
08-01,25.210388
08-02,25.327484
08-03,25.57965
08-04,25.628296
08-05,25.592957
08-06,25.444855
08-07,25.346558
08-08,25.354706
08-09,25.286713
08-10,25.218079
08-11,25.03955
08-12,24.972198
08-13,24.763916
08-14,24.902802
08-15,25.05954
08-16,25.07608
08-17,25.074066
08-18,25.219543
08-19,25.167297
08-20,24.93869
08-21,24.571228
08-22,24.489288
08-23,24.695282
08-24,24.74704
08-25,24.570648
08-26,24.634949
08-27,24.383423
08-28,24.094635
08-29,23.867401
08-30,23.501007
08-31,23.020294
09-01,22.889984
09-02,22.819092
09-03,22.37503
09-04,21.820892
09-05,21.803253
09-06,21.796906
09-07,22.099945
09-08,22.342255
09-09,22.038391
09-10,21.943207
09-11,21.947296
09-12,21.578613
09-13,21.060425
09-14,20.61905
09-15,20.53305
09-16,20.391388
09-17,20.391449
09-18,20.26828
09-19,20.102264
09-20,19.933441
09-21,19.94345
09-22,19.927063
09-23,19.912415
09-24,19.54602
09-25,19.388397
09-26,19.28012
09-27,19.046265
09-28,18.513367
09-29,17.801819
09-30,17.446564
